mstat,rev_total_mois,age_grp,empl_formel,bancarise,a_assurance,logem
Marié(e),87966.664,45-54,0,1,0,Locataire
Marié(e),0.0,35-44,0,0,0,Locataire
Veuf(ve),0.0,55-64,0,0,0,Locataire
Célibataire,0.0,18-24,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Veuf(ve),0.0,65+,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,18-24,0,1,0,Locataire
Célibataire,0.0,0-17,0,1,0,Locataire
Veuf(ve),0.0,55-64,0,1,0,Locataire
Célibataire,0.0,18-24,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,0.0,0-17,0,0,0,Autre
Célibataire,100000.0,25-34,1,1,0,Autre
Célibataire,0.0,0-17,0,0,0,Autre
Marié(e),0.0,55-64,0,1,0,Autre
Marié(e),0.0,45-54,0,1,1,Autre
Célibataire,0.0,18-24,0,1,0,Autre
Célibataire,0.0,0-17,0,0,0,Locataire
Union libre,0.0,25-34,0,1,0,Locataire
Union libre,75000.0,55-64,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Veuf(ve),0.0,35-44,0,1,0,Autre
Célibataire,60000.0,25-34,0,0,0,Locataire
Célibataire,30000.0,25-34,0,1,0,Proprietaire sans titre
Veuf(ve),0.0,45-54,0,0,0,Proprietaire titre
Célibataire,0.0,25-34,0,0,0,Proprietaire titre
Veuf(ve),0.0,65+,0,1,0,Proprietaire titre
Veuf(ve),0.0,45-54,0,0,0,Proprietaire titre
Célibataire,56000.0,25-34,0,1,0,Proprietaire titre
Célibataire,0.0,18-24,0,1,0,Proprietaire titre
Célibataire,0.0,0-17,0,0,0,Proprietaire titre
Célibataire,0.0,18-24,0,0,0,Proprietaire titre
Union libre,125000.0,45-54,0,1,0,Proprietaire titre
Célibataire,70258.023,25-34,0,1,0,Proprietaire titre
Célibataire,70000.0,35-44,0,1,0,Proprietaire titre
Célibataire,0.0,0-17,0,0,0,Proprietaire titre
Célibataire,64255.0,45-54,1,1,1,Proprietaire titre
Célibataire,0.0,0-17,0,0,0,Proprietaire titre
Union libre,0.0,35-44,0,1,0,Proprietaire titre
Divorcé(e),0.0,55-64,0,1,0,Proprietaire titre
Célibataire,0.0,0-17,0,0,0,Proprietaire titre
Célibataire,200000.0,25-34,0,1,0,Locataire
Marié(e),45000.0,45-54,0,1,0,Locataire
Célibataire,0.0,0-17,0,0,0,Locataire
Célibataire,40000.0,18-24,0,1,0,Locataire
Marié(e),315000.0,65+,1,1,1,Locataire
Veuf(ve),0.0,55-64,0,1,1,Proprietaire titre
Célibataire,0.0,25-34,0,0,0,Proprietaire titre
Célibataire,90000.0,25-34,0,0,1,Proprietaire titre
Célibataire,0.0,0-17,0,0,1,Proprietaire titre
Célibataire,85000.0,25-34,0,1,0,Proprietaire sans titre
Célibataire,0.0,0-17,0,0,0,Proprietaire sans titre
Marié(e),84000.0,45-54,0,1,0,Proprietaire sans titre
Célibataire,0.0,0-17,0,0,0,Proprietaire sans titre
Célibataire,20000.0,45-54,0,1,0,Proprietaire sans titre
Célibataire,0.0,18-24,0,1,0,Proprietaire sans titre
Veuf(ve),0.0,55-64,0,1,0,Proprietaire titre
Célibataire,250000.0,35-44,1,1,0,Proprietaire titre
Célibataire,250000.0,25-34,1,1,0,Proprietaire titre
Célibataire,50000.0,25-34,0,1,0,Proprietaire titre
Célibataire,0.0,25-34,0,1,0,Proprietaire titre
Célibataire,0.0,35-44,0,1,0,Proprietaire titre
Célibataire,0.0,0-17,0,0,0,Proprietaire titre
Célibataire,0.0,45-54,0,1,0,Proprietaire titre
