region,sexe,mstat,age_grp,nbr_indv,mean_rev,mean_banked,empl_formel,proprio_titre,proprio_sans,locataire,autre_logement,assurance
HAUT-SASSANDRA,Masculin,Célibataire,35-44,19,20060.357,.57894737,0,.31578946,.47368422,.10526316,.10526316,0
HAUT-SASSANDRA,Masculin,Marié(e) monogame,35-44,125,27813.066,.80800003,.032000002,.168,.51999998,.152,.16,.039999999
HAUT-SASSANDRA,Masculin,Marié(e) polygame,35-44,27,19506.172,.92592591,0,.22222222,.4074074,.11111111,.25925925,.074074075
HAUT-SASSANDRA,Masculin,Union libre,35-44,16,8666.667,.625,0,.0625,.625,.125,.1875,0
HAUT-SASSANDRA,Masculin,Veuf(ve),35-44,2,0,1,0,0,.5,0,.5,0
HAUT-SASSANDRA,Masculin,Divorcé(e),35-44,1,0,0,0,0,0,0,1,0
HAUT-SASSANDRA,Masculin,Séparé,35-44,4,16160.979,.5,0,.25,.5,0,.25,0
HAUT-SASSANDRA,Féminin,Célibataire,35-44,8,78125,.875,.25,.25,.125,.375,.25,.125
HAUT-SASSANDRA,Féminin,Marié(e) monogame,35-44,103,5691.2798,.41747573,.009708738,.22330096,.50485438,.067961164,.2038835,.019417476
HAUT-SASSANDRA,Féminin,Marié(e) polygame,35-44,47,0,.31914893,0,.36170211,.42553192,.08510638,.12765957,.021276595
HAUT-SASSANDRA,Féminin,Union libre,35-44,11,4626.6025,.36363637,0,.18181819,.45454547,0,.36363637,0
HAUT-SASSANDRA,Féminin,Veuf(ve),35-44,10,5000,.40000001,0,.2,.5,.1,.2,0
HAUT-SASSANDRA,Féminin,Séparé,35-44,2,0,1,0,0,.5,0,.5,0
HAUT-SASSANDRA,Masculin,Célibataire,45-54,5,57000,.60000002,.2,.2,.40000001,.2,.2,.2
HAUT-SASSANDRA,Masculin,Marié(e) monogame,45-54,76,35779.316,.78947371,.078947365,.18421052,.46052632,.14473684,.21052632,.10526316
HAUT-SASSANDRA,Masculin,Marié(e) polygame,45-54,22,23424.242,.90909094,0,.22727273,.59090906,.090909094,.090909094,0
HAUT-SASSANDRA,Masculin,Union libre,45-54,10,0,.69999999,0,.1,.60000002,.1,.2,0
HAUT-SASSANDRA,Masculin,Veuf(ve),45-54,1,0,1,0,0,1,0,0,0
HAUT-SASSANDRA,Masculin,Divorcé(e),45-54,1,0,1,0,0,1,0,0,0
HAUT-SASSANDRA,Féminin,Célibataire,45-54,6,0,.66666669,0,.16666667,.5,.16666667,.16666667,0
