index,mean,median,std,cluster
bancarise,0.0,0.0,0.0,89
age_num,9.841698841698841,10.0,6.173370435111375,90
bancarise,0.0,0.0,0.0,90
age_num,74.52401746724891,73.0,7.125053004963927,91
bancarise,0.0,0.0,0.0,91
age_num,29.375595805529077,29.0,6.161163706488437,92
bancarise,0.0,0.0,0.0,92
age_num,34.538983050847456,34.0,8.607325960296064,93
bancarise,1.0,1.0,0.0,93
age_num,27.174664107485604,25.0,8.085969040235785,94
bancarise,0.9923224568138196,1.0,0.08736847067334198,94
age_num,9.787937743190662,9.5,6.308181082159684,95
bancarise,0.0,0.0,0.0,95
age_num,8.626415094339622,8.0,6.273445447406828,96
bancarise,0.0,0.0,0.0,96
