,cluster,variable,type,moyenne,médiane,écart_type,min,max,modalité,modalité_pct
588,84,age_num,numérique,7.90009425070688,7.0,5.405221967635579,0.0,29.0,,
589,84,sex,catégorielle,,,,,,Féminin,100.0
590,84,marital_status,catégorielle,,,,,,Célibataire,100.0
591,84,city,catégorielle,,,,,,GRAND-LAHOU,4.524033930254477
592,84,milieu_resid,catégorielle,,,,,,Rural,100.0
593,84,region_name,catégorielle,,,,,,TONKPI,28.086710650329877
594,84,bancarise,catégorielle,,,,,,0,100.0
595,85,age_num,numérique,33.89655172413793,35.0,5.008546590544352,17.0,41.0,,
596,85,sex,catégorielle,,,,,,Masculin,100.0
597,85,marital_status,catégorielle,,,,,,Marié(e),100.0
598,85,city,catégorielle,,,,,,DIAWALA,1.0889292196007259
599,85,milieu_resid,catégorielle,,,,,,Rural,100.0
600,85,region_name,catégorielle,,,,,,TCHOLOGO,5.263157894736842
601,85,bancarise,catégorielle,,,,,,1,100.0
602,86,age_num,numérique,9.302631578947368,9.0,6.901513177633267,0.0,41.0,,
603,86,sex,catégorielle,,,,,,Masculin,100.0
604,86,marital_status,catégorielle,,,,,,Célibataire,99.3421052631579
605,86,city,catégorielle,,,,,,M'BAHIAKRO,14.144736842105262
606,86,milieu_resid,catégorielle,,,,,,Rural,100.0
607,86,region_name,catégorielle,,,,,,IFFOU,100.0
608,86,bancarise,catégorielle,,,,,,0,100.0
609,87,age_num,numérique,8.881006864988558,8.0,6.325246551560356,0.0,35.0,,
610,87,sex,catégorielle,,,,,,Féminin,100.0
611,87,marital_status,catégorielle,,,,,,Célibataire,100.0
612,87,city,catégorielle,,,,,,DUEKOUE,19.450800915331808
613,87,milieu_resid,catégorielle,,,,,,Rural,100.0
614,87,region_name,catégorielle,,,,,,GUEMON,100.0
615,87,bancarise,catégorielle,,,,,,0,100.0
616,88,age_num,numérique,58.182530795072786,57.0,7.050367121472271,49.0,89.0,,
617,88,sex,catégorielle,,,,,,Féminin,100.0
618,88,marital_status,catégorielle,,,,,,Marié(e),97.3124300111982
619,88,city,catégorielle,,,,,,BOCANDA,1.1198208286674132
620,88,milieu_resid,catégorielle,,,,,,Rural,100.0
621,88,region_name,catégorielle,,,,,,HAUT-SASSANDRA,4.8152295632698765
622,88,bancarise,catégorielle,,,,,,0,100.0
623,89,age_num,numérique,10.227611940298507,9.0,7.706973269218027,0.0,39.0,,
624,89,sex,catégorielle,,,,,,Masculin,100.0
625,89,marital_status,catégorielle,,,,,,Célibataire,99.6268656716418
626,89,city,catégorielle,,,,,,M'BATTO,22.761194029850746
627,89,milieu_resid,catégorielle,,,,,,Rural,100.0
628,89,region_name,catégorielle,,,,,,MORONOU,100.0
629,89,bancarise,catégorielle,,,,,,0,100.0
630,90,age_num,numérique,9.841698841698841,10.0,6.173370435111375,0.0,30.0,,
631,90,sex,catégorielle,,,,,,Féminin,71.04247104247105
632,90,marital_status,catégorielle,,,,,,Célibataire,100.0
633,90,city,catégorielle,,,,,,ABENGOUROU,62.16216216216216
634,90,milieu_resid,catégorielle,,,,,,Urbain,100.0
635,90,region_name,catégorielle,,,,,,INDENIE-DJUABLIN,100.0
636,90,bancarise,catégorielle,,,,,,0,100.0
637,91,age_num,numérique,74.52401746724891,73.0,7.125053004963927,64.0,102.0,,
638,91,sex,catégorielle,,,,,,Masculin,99.34497816593887
639,91,marital_status,catégorielle,,,,,,Marié(e),81.00436681222706
640,91,city,catégorielle,,,,,,BOCANDA,2.1834061135371177
641,91,milieu_resid,catégorielle,,,,,,Rural,84.06113537117903
642,91,region_name,catégorielle,,,,,,N'ZI,6.331877729257641
643,91,bancarise,catégorielle,,,,,,0,100.0
644,92,age_num,numérique,29.375595805529077,29.0,6.161163706488437,15.0,41.0,,
645,92,sex,catégorielle,,,,,,Féminin,100.0
646,92,marital_status,catégorielle,,,,,,Marié(e),90.46711153479504
647,92,city,catégorielle,,,,,,KORHOGO,3.336510962821735
648,92,milieu_resid,catégorielle,,,,,,Urbain,100.0
649,92,region_name,catégorielle,,,,,,CAVALLY,7.0543374642516685
650,92,bancarise,catégorielle,,,,,,0,100.0
651,93,age_num,numérique,34.538983050847456,34.0,8.607325960296064,17.0,56.0,,
652,93,sex,catégorielle,,,,,,Masculin,56.949152542372886
653,93,marital_status,catégorielle,,,,,,Union libre,100.0
654,93,city,catégorielle,,,,,,DABOU,6.101694915254238
