cluster,age_num,sex,marital_status,city,milieu_resid,region_name,bancarise
1,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,42,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,59,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,18,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,58,Masculin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,25,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,55,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,52,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,32,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,58,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,36,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,32,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,54,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,28,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,81,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,52,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,26,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,20,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,20,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,46,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,31,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,43,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,51,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,35,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,59,Féminin,Divorcé(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,29,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,53,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
